Population: 256
Generation: 0



Species: 25.9533  offsprings: 17  size: 12
fitness: 8.60788  complexity: 6  size: 7
fitness: 10.0901  complexity: 6  size: 7
fitness: 11.0302  complexity: 6  size: 7
fitness: 11.0592  complexity: 6  size: 7
fitness: 11.4177  complexity: 6  size: 7
fitness: 11.6449  complexity: 6  size: 7
fitness: 11.9694  complexity: 6  size: 7
fitness: 17.5698  complexity: 6  size: 7
fitness: 20.8333  complexity: 7  size: 7
fitness: 26.7147  complexity: 6  size: 7
fitness: 32.2615  complexity: 6  size: 7
fitness: 138.241  complexity: 6  size: 7


Species: 23.0777  offsprings: 21  size: 7
fitness: 0.21727  complexity: 6  size: 7
fitness: 12.1919  complexity: 6  size: 7
fitness: 14.5273  complexity: 6  size: 7
fitness: 18.7212  complexity: 6  size: 7
fitness: 19.3358  complexity: 6  size: 7
fitness: 33.655  complexity: 6  size: 7
fitness: 62.8954  complexity: 6  size: 7


Species: 22.3071  offsprings: 26  size: 1
fitness: 22.3071  complexity: 8  size: 8


Species: 16.3116  offsprings: 17  size: 7
fitness: 9.23943  complexity: 7  size: 7
fitness: 11.8279  complexity: 7  size: 7
fitness: 11.9578  complexity: 7  size: 7
fitness: 12.0307  complexity: 6  size: 7
fitness: 12.4742  complexity: 7  size: 7
fitness: 25.864  complexity: 7  size: 7
fitness: 30.7869  complexity: 7  size: 7


Species: 15.041  offsprings: 15  size: 7
fitness: 11.2483  complexity: 6  size: 7
fitness: 11.4122  complexity: 6  size: 7
fitness: 11.9086  complexity: 6  size: 7
fitness: 11.9429  complexity: 6  size: 7
fitness: 12.1294  complexity: 6  size: 7
fitness: 15.201  complexity: 6  size: 7
fitness: 31.4446  complexity: 6  size: 7


Species: 14.1009  offsprings: 13  size: 39
fitness: 1.70365  complexity: 6  size: 7
fitness: 2.48617  complexity: 6  size: 7
fitness: 2.98908  complexity: 6  size: 7
fitness: 3.48059  complexity: 6  size: 7
fitness: 3.83234  complexity: 7  size: 7
fitness: 4.03579  complexity: 6  size: 7
fitness: 4.48408  complexity: 6  size: 7
fitness: 5.35785  complexity: 6  size: 7
fitness: 5.52271  complexity: 6  size: 7
fitness: 5.64923  complexity: 6  size: 7
fitness: 6.4084  complexity: 6  size: 7
fitness: 7.14023  complexity: 6  size: 7
fitness: 7.635  complexity: 6  size: 7
fitness: 8.43839  complexity: 6  size: 7
fitness: 8.80809  complexity: 6  size: 7
fitness: 8.96081  complexity: 6  size: 7
fitness: 10.2775  complexity: 6  size: 7
fitness: 11.5296  complexity: 6  size: 7
fitness: 11.5597  complexity: 6  size: 7
fitness: 11.9268  complexity: 6  size: 7
fitness: 12.0799  complexity: 6  size: 7
fitness: 12.257  complexity: 6  size: 7
fitness: 12.2646  complexity: 6  size: 7
fitness: 16.347  complexity: 6  size: 7
fitness: 16.5882  complexity: 6  size: 7
fitness: 18.1057  complexity: 6  size: 7
fitness: 19.0595  complexity: 6  size: 7
fitness: 19.2839  complexity: 6  size: 7
fitness: 19.5823  complexity: 6  size: 7
fitness: 19.6333  complexity: 6  size: 7
fitness: 22.7359  complexity: 7  size: 7
fitness: 22.8796  complexity: 6  size: 7
fitness: 25.4276  complexity: 6  size: 7
fitness: 29.2518  complexity: 6  size: 7
fitness: 29.2885  complexity: 6  size: 7
